Marke,Modell,Grundpreis,Leistung_kW,Hubraum,Leergewicht,Verbrauch_kombi,Tueranzahl,Fahrzeugklasse
Mercedes,S 500 Cabriolet,140545,335,4663,2115,8.5,2,6
Audi,R8 Coupee 5.2 FSI V10,140000,397,5204,1665,12.4,2,6
Mercedes,Maybach S 560,139700,345,3982,2240,8.8,4,6
Porsche,911 Carrera Cabriolet,138850,331,2981,1595,9.4,2,6
Donkervoort,D8 GTO-S,138040,254,2480,740,8,2,6
BMW,M6 Cabrio,137200,412,4395,2055,10.3,2,6
BMW Alpina,B6 Bi-Turbo Cabriolet,137200,441,4395,2095,9.6,2,6
BMW Alpina,B6 Bi-Turbo Gran Coupee,135800,441,4395,2030,10.4,4,6
Aston Martin,V8 Vantage S Roadster,135520,321,4735,1710,13.8,2,6
Mercedes,GLS 63 AMG,135482,430,5461,2580,12.3,5,6
BMW,M6 Gran Coupee,134500,412,4395,1950,9.9,4,6
Land Rover,Range Rover Sport SVR,132200,423,5000,2310,12.8,5,6
BMW,M6 Coupee,129600,412,4395,1925,9.9,2,6
Land Rover,Range Rover Sport SVR,129600,405,5000,2330,12.8,5,6
BMW Alpina,B6 Bi-Turbo Coupee,129200,441,4395,1940,9.4,2,6
Mercedes,AMG GT Roadster,129180,350,3982,1670,9.4,2,6
Maserati,GranTurismo Sport,129020,338,4691,1880,14.3,2,6
Aston Martin,V8 Vantage AMR,126995,320,4735,1610,13.8,3,6
Porsche,911 Carrera Coupee,125760,331,2981,1525,9.4,2,6
Chevrolet,Corvette Z06 Cabriolet,124700,485,6162,1734,12.7,2,6
Land Rover,Range Rover 5.0 V8 SC,121800,375,5000,2336,12.8,5,6
Chevrolet,Corvette Z06 Coupee,119700,485,6162,1734,12.7,3,6
Audi,S8 cod,118500,382,3993,2050,9.4,4,6
Porsche,911.,118382,272,2981,1645,8.9,2,6
Mercedes,AMG GT Coupee,117280,350,3982,1615,9.3,2,6
Porsche,911 Carrera Cabriolet,111004,272,2981,1575,8.5,2,6
Porsche,911 Carrera T Coupee,107553,272,2981,1500,9.5,2,6
Mercedes,G 500,106701,310,3982,2595,12.3,5,6
Audi,A8 4.0 TFSI cod,104400,320,3993,1955,8.9,4,6
Mercedes,S 450 Coupee,101656,270,2996,2050,8.9,2,6
Chevrolet,Corvette Grand Sport Cabriolet 6.2 V8,100900,343,6162,1614,12.3,2,6
Mercedes,S 400 Coupee,100561,270,2996,2035,8.3,2,6
Cadillac,Escalade 6.2 V8,99900,313,6162,2710,12.6,5,6
Mercedes,SL 400,99341,270,2996,1735,7.7,2,6
Porsche,911 Carrera Coupee,97914,272,2981,1505,8.3,2,6
Porsche,Panamera Sport Turismo 4,97557,243,2995,1955,7.8,5,6
Maserati,Quattroporte,97430,257,2979,1860,9.1,4,6
Chevrolet,Corvette Grand Sport Coupe 6.2 V8,95900,343,6162,1588,12.3,3,6
Land Rover,Range Rover Sport 5.0 V8 SC,94900,375,5000,2306,12.8,5,6
Jaguar,XJ 3.0 V6 Kompressor,93800,250,2995,1865,9.8,4,6
BMW,740i,93000,240,2998,1800,6.8,4,6
Mercedes,S 450,92255,270,2987,1995,6.6,4,6
Porsche,Panamera,90655,243,2995,1890,7.5,5,6
BMW,640i Cabrio,90600,235,2979,1895,7.7,2,6
Chevrolet,Corvette Stingray Cabriolet 6.2 V8,85400,343,6162,1664,12.3,2,6
BMW,640i Gran Coupe,83900,235,2979,1825,7.6,4,6
BMW,640i Coupe,81900,235,2979,1760,7.6,2,6
Chevrolet,Corvette Stingray Coupe 6.2 V8,80400,343,6162,1614,12.3,3,6
Mercedes,GLS 400,77029,245,2996,2435,8.9,5,6
Cadillac,CT6 3.0 V6,73500,307,2997,1879,9.6,4,6
Land Rover,Range Rover Sport 2.0 Si4,65600,221,1997,2083,9.2,5,6
Land Rover,Range Rover Evoque Coupe Si4,62200,213,1998,1833,7.6,3,3
BMW,M2 Coupe,59500,272,2979,1570,8.5,2,3
Mercedes,CLA 45 AMG Shooting Brake,57804,280,1991,1615,6.9,5,3
Mercedes,CLA 45 AMG,57209,280,1991,1585,6.9,4,3
Mercedes,GLA 45 AMG,56852,280,1991,1585,7.4,5,3
Audi,RS3 Limousine,55900,294,2480,1590,8.3,4,3
Land Rover,Range Rover Evoque Cabriolet Si4,55300,177,1998,2013,8.2,2,3
Audi,RS3 Sportback,54600,294,2480,1585,8.3,5,3
Mercedes,A 45 AMG,51527,280,1991,1555,6.9,5,3
Audi,S3 Cabriolet,51150,228,1984,1710,6.7,2,3
VW,Golf R Variant,45350,228,1984,1593,7.1,5,3
Subaru,Impreza WRX STi 2.5,44500,221,2457,1527,10.9,4,3
Land Rover,Range Rover Evoque Si4,43850,177,1998,1752,8.2,5,3
Audi,S3 Limousine,43250,228,1984,1505,7,4,3
Audi,S3 Sportback,42350,228,1984,1505,7,5,3
Jaguar,E-Pace P250,42350,183,1998,1832,7.7,5,3
Subaru,Impreza WRX STi 2.5,41550,221,2457,1575,10.4,4,3
Audi,S3,41450,228,1984,1480,7,3,3
VW,Golf R,41175,228,1984,1483,7.8,3,3
Ford,Focus RS,40675,257,2261,1560,7.7,5,3
Infiniti,QX30 2.0t,40150,155,1991,1542,6.7,5,3
Lotus,Elise,39900,100,1598,876,6.3,2,3
MINI,John Cooper Works Countryman,39500,170,1998,1615,7.4,5,3
BMW,X2 sDrive20i,39200,141,1998,1535,5.5,5,3
MINI,John Cooper Works Clubman,36800,170,1998,1550,7.4,5,3
Opel,Astra OPC,36360,206,1998,1550,7.8,3,3
Honda,Civic Type R,36050,235,1996,1380,7.7,5,3
SEAT,Leon ST Cupra 300,35930,221,1984,1440,7,5,3
Peugeot,308.,35350,200,1598,1280,6,5,3
SEAT,Leon Cupra 300,34730,221,1984,1395,6.9,5,3
SEAT,Leon SC Cupra 300,34340,221,1984,1375,6.9,3,3
VW,Touran 1.2 TSI BMT,34300,81,1197,1436,5.5,5,3
BMW,218i Cabrio,34200,100,1499,1575,5.5,2,3
VW,Golf Alltrack 1.8 TSI BMT,34125,132,1798,1537,6.7,5,3
Mazda,CX-5 SKYACTIV-G 160,32190,118,1998,1495,6.8,5,3
BMW,X1 sDrive18i,31700,103,1499,1475,5.5,5,3
Audi,A3 Cabriolet 1.4 TFSI,31450,85,1395,1430,5.3,2,3
Volvo,XC40 T3,31350,114,1498,1725,6.8,5,3
Ford,Focus Turnier ST 2.0 EcoBoost Start/Stopp,30550,184,1999,1461,6.8,5,3
VW,Golf GTI,30425,169,1984,1364,6.4,3,3
Mercedes,CLA 180 Shooting Brake,30274,90,1595,1430,5.5,5,3
Mazda,MX-5 RF SKYACTIV-G 160,29890,118,1998,1120,6.9,2,3
BMW,218i Coupe,29750,100,1499,1420,5.1,2,3
Hyundai,i30 N,29700,184,1998,1475,7,5,3
Mercedes,CLA 180,29679,90,1595,1395,5.4,4,3
Ford,Focus ST 2.0 EcoBoost Start/Stopp,29600,184,1999,1437,6.8,5,3
Mercedes,GLA 180,28941,90,1595,1395,5.7,5,3
Audi,Q3 1.4 TFSI,28700,92,1395,1460,5.8,5,3
BMW,216i Gran Tourer,28600,75,1499,1475,5.3,5,3
Volvo,V40 Cross Country T3,28280,112,1969,1569,5.6,5,3
BMW,216i Active Tourer,27350,75,1499,1415,5.4,5,3
VW,Tiguan 1.4 TSI,26975,92,1395,1490,6.1,5,3
Mercedes,B 160,26638,75,1595,1395,5.5,5,3
Audi,A3 Limousine 1.0 TFSI,25550,85,999,1260,4.4,4,3
Honda,Civic Limousine 1.5 Turbo,25520,134,1498,1321,5.7,4,3
DS Automobiles,DS 4 Crossback PureTech 130 Stop&Start,25490,96,1199,1330,4.9,5,3
KIA,pro_ceed GT,25390,150,1591,1395,7.4,3,3
KIA,ceed GT,25390,150,1591,1382,7.4,5,3
Fiat,124 Spider 1.4 Multiair Turbo,24990,103,1368,1125,6.4,2,3
Fiat,124 Spider 1.4 Multiair Turbo,24990,103,1368,1125,6.4,2,3
Hyundai,Veloster 1.6 Turbo,24990,137,1591,1333,6.9,4,3
SEAT,Leon X-PERIENCE 1.4 TSI Start&Stop,24950,92,1395,1263,5.3,5,3
VW,Scirocco 1.4 TSI BMT,24950,92,1395,1280,5.4,3,3
Jeep,Compass 1.4 Multiair 140,24900,103,1368,1505,6.2,5,3
Volvo,V40 T2,24850,90,1969,1546,5.6,5,3
VW,Caddy Alltrack 1.2 TSI BMT,24782,62,1197,1350,6.1,5,3
BMW,116i,24700,80,1499,1375,5.3,3,3
Mercedes,A 160,24681,75,1595,1370,5.4,5,3
Audi,A3 Sportback 1.0 TFSI,24650,85,999,1255,4.5,5,3
Honda,Civic Tourer 1.8,24590,104,1798,1355,6.2,5,3
Skoda,Karoq 1.0 TSI,24290,85,999,1340,5.1,5,3
Infiniti,Q30 1.6t,24200,90,1595,1407,5.7,5,3
MINI,One Countryman,24000,75,1499,1440,5.5,5,3
DS Automobiles,DS 4 PureTech 130 Stop&Start,23990,96,1199,1330,4.9,5,3
KIA,pro_ceed 1.0 T-GDI 120 ISG,23990,88,998,1271,4.9,3,3
Opel,Zafira 1.4 Turbo,23950,88,1364,1628,6.8,5,3
Audi,A3 1.0 TFSI,23750,85,999,1225,4.5,3,3
Opel,Grandland X 1.2 DI Turbo Start&Stop,23700,96,1199,1350,5.4,5,3
Renault,Grand Sconic ENERGY TCe 115,23690,85,1197,1505,6.1,5,3
VW,Beetle Cabriolet 1.2 TSI BMT,23450,77,1197,1395,5.4,2,3
Audi,Q2 1.0 TFSI ultra,23400,85,999,1280,5.1,5,3
Ford,Kuga 1.5 EcoBoost Start/Stopp,23300,88,1498,1579,6.3,5,3
Peugeot,3008 1.2 PureTech 130,23250,96,1199,1325,5.1,5,3
Mazda,MX-5 SKYACTIV-G 131,22990,96,1496,1050,6,2,3
Subaru,XV 1.6i,22980,84,1600,1408,6.4,5,3
VW,Caddy Beach 1.2 TSI BMT,22943,62,1197,1350,6.1,5,3
MINI,One Clubman,22850,75,1499,1375,5.1,5,3
Hyundai,Tucson 1.6 GDI blue    ,22740,97,1591,1454,6.3,5,3
Hyundai,i30 Fastback 1.0 T-GDI,22200,88,  998,1460,5.2,5,3
Toyota,C-HR 1.2 T,21990,85,1197,1320,5.9,5,3
Subaru,Impreza 1.6i,21980,84,1600,1359,6.2,5,3
VW,Golf Variant 1.0 TSI BMT,21850,81,999,1295,4.9,5,3
Mazda,3 SKYACTIV-G 120,21790,88,1998,1280,5.1,4,3
Toyota,Verso 1.6,21765,97,1598,1505,6.8,5,3
Alfa Romeo,Giulietta 1.4 TB 16V,21500,88,1368,1355,6.2,5,3
Opel,Astra GTC 1.4 Turbo,21360,88,1364,1437,6.3,3,3
Toyota,Corolla 1.6,21220,97,1598,1270,6,4,3
Citroen,Grand C4 Picasso PureTech 130 Stop&Start,20990,96,1199,1370,5,5,3
Ford,Grand C-MAX 1.0 EcoBoost Start/Stopp,20850,74,998,1493,5.2,5,3
Nissan,Qashqai 1.2 DIG-T,20490,85,1197,1350,5.6,5,3
VW,Golf Sportsvan 1.0 TSI,20475,63,999,1335,4.9,5,3
VW,Golf Sportsvan 1.2 TSI BMT,20475,63,1197,1320,5,5,3
VW,T-Roc 1.0 TSI,20390,85,999,1270,5.1,5,3
Ford,Tourneo Connect 1.0 EcoBoost Start/Stopp,20249,74,998,1474,5.6,5,3
Opel,Astra 1.6,20220,85,1598,1405,6.8,4,3
Honda,Civic 1.0 Turbo,19990,95,988,1229,4.8,5,3
KIA,Carens 1.6 GDI,19990,99,1591,1458,6.5,5,3
KIA,Sportage 1.6 GDI,19990,97,1591,1397,6.7,5,3
Mercedes,Citan Tourer lang 112,19990,84,1192,1440,6.2,5,3
Renault,Sconic ENERGY TCe 115,19990,85,1197,1503,5.8,5,3
Renault,Kadjar ENERGY TCe 130,19990,96,1197,1381,5.7,5,3
SEAT,Ateca 1.0 TSI Ecomotive,19990,85,999,1280,5.2,5,3
SsangYong,Korando 2.0 e-XGi 200,19990,110,1998,1612,7.5,5,3
Subaru,XV 1.6i,19990,84,1600,1370,6.5,5,3
Peugeot,308 SW 1.2 PureTech 110,19800,81,1199,1265,4.7,5,3
Suzuki,SX4 S-Cross 1.0 Boosterjet,19790,82,998,1165,5,5,3
Citroen,C4 Picasso PureTech 110 Stop&Start,18990,81,1199,1355,5.1,5,3
Mitsubishi,ASX 1.6 ClearTec,18990,86,1590,1335,5.7,5,3
Ford,Focus 1.0 EcoBoost Start/Stopp,18700,74,998,1303,4.8,4,3
Peugeot,308 1.2 PureTech 110,18700,81,1199,1155,4.6,5,3
Subaru,Impreza 1.6i,18600,84,1600,1380,6.2,5,3
Opel,Astra Sports Tourer 1.4,18550,74,1399,1273,5.7,5,3
VW,Caddy 1.2 TSI BMT,18528,62,1197,1350,6.1,4,3
Mitsubishi,Lancer 1.6 ClearTec,18490,86,1590,1305,5.5,4,3
Mitsubishi,Lancer Sportback 1.6 ClearTec,18490,86,1590,1345,5.5,5,3
Renault,Megane Grandtour ENERGY TCe 100,18490,74,1197,1366,5.4,5,3
Hyundai,i30 Kombi 1.4,18450,74,1368,1285,5.6,5,3
VW,Caddy Kombi 1.2 TSI BMT,18445,62,1197,1350,6.1,4,3
Nissan,Pulsar 1.2 DIG-T,18270,85,1197,1265,5,5,3
Ford,C-MAX 1.6 Ti-VCT,18250,63,1596,1374,6.4,5,3
Mazda,3 SKYACTIV-G 100,18190,74,1496,1260,5.1,5,3
VW,Golf 1.0 TSI BMT,18075,63,999,1206,4.8,3,3
Fiat,DoblKombi 1.4 16V,17990,70,1368,1370,7.4,5,3
SEAT,Toledo 1.2 TSI,17990,66,1197,1156,4.7,5,3
Citroen,Berlingo Kombi VTi 95,17850,72,1598,1395,6.4,4,3
Peugeot,Partner Tepee VTi 98,17850,72,1598,1550,6.4,4,3
Ford,Focus Turnier 1.6 Ti-VCT,17700,63,1596,1300,6,5,3
Toyota,Auris Touring Sports 1.33,17690,73,1329,1250,5.6,5,3
Opel,Astra 1.4,17550,74,1399,1244,5.5,5,3
Renault,Megane ENERGY TCe 100,17490,74,1197,1280,5.4,5,3
SsangYong,XLV 1.6 e-XGi 160,17490,94,1597,1390,7.1,5,3
Hyundai,i30 1.4,17450,74,1368,1244,5.4,5,3
Citroen,C4 PureTech 110,17240,81,1199,1275,4.8,5,3
Renault,Kangoo ENERGY TCe 115,17150,84,1197,1395,6.2,4,3
SEAT,Leon ST 1.2 TSI,16640,63,1197,1233,5.1,5,3
Toyota,Auris 1.33,16490,73,1329,1225,5.5,5,3
Fiat,Tipo Kombi 1.4 16V,16450,70,1368,1280,5.7,5,3
Ford,Focus 1.6 Ti-VCT,16450,63,1596,1264,5.9,5,3
KIA,ceed Sportswagon 1.4,16190,73,1368,1279,6,5,3
Skoda,Rapid 1.0 TSI,15890,70,999,1170,4.4,5,3
Skoda,Rapid Spaceback 1.0 TSI,15790,70,999,1165,4.4,5,3
SEAT,Leon 1.2 TSI,15490,63,1197,1188,5.1,5,3
Fiat,Tipo 1.4 16V,15450,70,1368,1270,5.7,5,3
Opel,Combo Combi 1.4,15110,70,1364,1445,7.4,5,3
SEAT,Leon SC 1.2 TSI,14990,63,1197,1168,5.1,3,3
KIA,ceed 1.4,14490,73,1368,1254,6,5,3
Fiat,Tipo 1.4 16V,14450,70,1368,1225,5.7,4,3
Dacia,Lodgy Stepway TCe 115 Start&Stop,14200,85,1197,1278,5.6,5,3
Dacia,Dokker Stepway TCe 115 Start&Stop,13600,85,1197,1280,5.7,5,3
Citroen,C-Elysee PureTech 82,12990,60,1199,1055,4.8,4,3
Lada,Vesta 1.6 16V,12740,78,1596,1250,6.1,4,3
Dacia,Logan MCV Stepway TCe 90 Start&Stop,12200,66,898,1165,5.1,5,3
Lada,Urban 1.7,11990,61,1690,1285,9.5,3,3
Dacia,Duster SCe 115,11290,84,1598,1262,6.6,5,3
Lada,Taiga 1.7,10790,61,1690,1285,9.5,3,3
Dacia,Duster SCe 115 Start&Stop,10690,84,1598,1165,6.4,5,3
Dacia,Lodgy SCe 100 Start&Stop,9990,75,1598,1211,6.1,5,3
Dacia,Dokker SCe 100 Start&Stop,8990,75,1598,1239,6.2,4,3
Lada,Granta 1.6 8V,8500,64,1596,1080,6.6,5,3
Dacia,Logan MCV SCe 75,7990,54,998,1091,5.4,5,3
Lada,Granta 1.6 8V,7260,64,1596,1080,6.6,4,3
